SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Контейнер для продуктов Lock&Ok бежевый флэк 1,5л",230890,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов",Контейнер для продуктов Lock&Ok с декором зеленый 750мл,230891,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Контейнер для продуктов Lock&Ok с декором зеленый 1,1л",230892,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Контейнер для бутербродов Phibo с декором светло-бежевый 17х13х4,2см",230893,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов",Контейнер для сыра Phibo жёлтый,230894,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090203 Кухонный инвентарь, ножи","Подставка для ложки Phibo с декором бежевый 20Х8Х3,5см",230895,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Корзинка универсальная 3ХL 6,3л",230896,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Корзинка универсальная Scandi белая 1,2л",230898,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Корзинка универсальная Scandi белая 3,1л",230899,
05 Продовольственные товары,0501 Консервация,"050102 Мед, варенье, сиропы",05010202 Джем,Джем SPAR Natural из Фейхоа 275г,230904,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия",070103 Чистящие моющие средства,07010302 Средства для посудомоечных машин,Таблетки для посудомоечных машин Санита А50 Все в одном,230917,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030401 Шампунь,Шампунь Клеар Дерма Терапи 380мл Легкость от корней,230922,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030401 Шампунь,Шампунь Клеар Дерма Терапи 380мл Комфорт и увлажнение,230923,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,"07030402 Кондиционеры, маски, масла для волос",Маска-кондиционер Клеар Дерма Терапи 200мл Легкость от корней,230924,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020102 Водка,"Водка Балчуг 21 Век 0,5л 40%",230929,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020102 Водка,"Водка Балчуг 21 Век 0,7л 40%",230930,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Россия белый пористый Шоколадные пузырьки 75г,230932,
05 Продовольственные товары,0516 Корма для животных,051604 Лакомства для кошек и собак,05160401 Лакомства для кошек,Лакомство для кошек Дримис Микс подушечки курица и кошачья мята 140г,230936,
05 Продовольственные товары,0516 Корма для животных,051604 Лакомства для кошек и собак,05160401 Лакомства для кошек,Лакомство для кошек Дримис подушечки с лососем 140г,230937,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160102 Корм для кошек сухой,Корм сухой для стерилизованных кошек Вискас с Курицей 800г,230938,
"06 Напитки, Табак",0606 Вино,060601 Красное вино,06060102 Красное полусухое вино,"Вино Кингпин 2021 Кастилия Ла Манча кр п/сух 0,75л 14%",230941,
"06 Напитки, Табак",0606 Вино,060601 Красное вино,06060101 Красное сухое вино,"Вино Ле Пти Нуар ред бленд 2021 Лангедок-Руссийон кр сух 0,75л 13,5%",230944,
"06 Напитки, Табак",0606 Вино,060602 Белое вино,06060201 Белое сухое вино,"Вино Ле Пти Нуар уайт бленд 2021 Лангедок-Руссийон бел сух 0,75л 12,5%",230945,
02 Скоропортящиеся товары,0201 Молочная продукция,020107 Детское молочное питание старше 3х лет,02010704 Йогурты стакан от 3х лет,"Биойогурт Добрята Клубника от 3-х лет 2,9% 100г БЗМЖ",230947,
02 Скоропортящиеся товары,0201 Молочная продукция,020107 Детское молочное питание старше 3х лет,02010704 Йогурты стакан от 3х лет,"Биойогурт Добрята Яблоко/Груша от 3-х лет 2,9% 100г БЗМЖ",230948,
02 Скоропортящиеся товары,0201 Молочная продукция,"020108 Масло, маргарин, спред",02010801 Масло,Масло топленое Президент 99% 200г БЗМЖ,230949,
02 Скоропортящиеся товары,0202 Сыр,020202 Плавленый сыр,02020204 Копченый плавленый сыр,Сыр копченый Чечил с дымком Президент 35% 100г БЗМЖ,230950,
02 Скоропортящиеся товары,0201 Молочная продукция,"020105 Заменители молока, продукты на растительной основе",02010503 Молоко и сливки на растительной основе,Напиток растительный Милкс Соевый 1л,230962,
02 Скоропортящиеся товары,0202 Сыр,"020203 Твердый, полутвердый сыр","02020302 Твердый, Полутвердый сыр фас/штучный",Сыр Ламбер Легкий 30% флоупак 230г БЗМЖ,230965,
02 Скоропортящиеся товары,0202 Сыр,020201 Мягкий сыр,"02020102 Свежие, рассольные сыры",Сыр Брынза Иранская Sabah кубики в рассоле 40% 180г БЗМЖ,230966,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы",01010704 Вареные овощи,"Картофель черри ""на пару"" Натурово в/у 0,5кг",230981,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы",01010704 Вареные овощи,"Картофель дольки ""на пару"" Натурово в/у 0,5кг",230982,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010202 Огурцы, патиссоны, кабачки, тыква","Тыква очищенная Натурово в/у 0,5 кг",230983,
02 Скоропортящиеся товары,"0211 Рыбные деликатесы, Пресервы ЦЕХ и ФЛП",021103 Соленая рыба ФЛП,02110301 Рыба лососевых пород с/соленая СП,Нарезка из филе форели с/с в/у ЛП вес,230984,
"06 Напитки, Табак",0608 Табачные изделия,"060803 Системы нагревания табака, Стики табачные",06080301 Системы нагревания табака,Фишка на чистку,230985,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия",070103 Чистящие моющие средства,07010302 Средства для посудомоечных машин,Ополаскиватель для посудомоечных машин Tex 500мл,230998,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071504 Товары для сада, огорода","07150401 Грунт, удобрения",Побелка садовая Грин Бэлт 500г,231036,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020111 Чай черный с добавками пакетир,Чай черный Шах Голд Кенийский 100пак,231039,
02 Скоропортящиеся товары,0201 Молочная продукция,"020105 Заменители молока, продукты на растительной основе",02010503 Молоко и сливки на растительной основе,Напиток растительный Планто Фундук/Пекан 1л,231040,
02 Скоропортящиеся товары,0201 Молочная продукция,"020105 Заменители молока, продукты на растительной основе",02010503 Молоко и сливки на растительной основе,Напиток растительный Планто Арома Банан 1л,231041,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110205 Конфеты не шоколадные фасованные,Конфеты мармеладные Фрутландия Апельсин/Лимон 194г,231043,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110205 Конфеты не шоколадные фасованные,Конфеты мармеладные Фрутландия Манго 194г,231044,
03 Готовая еда,0301 Готовая еда ЦЕХ,030104 Салаты ЦЕХ,03010402 Салаты масляные ЦЕХ,Салат с запеченной свеклой и сыром фета Цех,231048,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы","01010703 Аджика, соусы острые с коротким сроком",Соус Тар-Тар с сельдереем Натурово 220г,231050,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы","01010703 Аджика, соусы острые с коротким сроком",Соус Сальса с сельдереем Натурово 220г,231051,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы","01010703 Аджика, соусы острые с коротким сроком",Соус Медово-горчичный Натурово 220г,231052,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы","01010702 Салаты, закуски",Огурцы соленые без рассола Натурово в/у 400г,231053,
04 Замороженная продукция,0406 Полуфабрикаты замороженные ЦЕХ и ФЛП,040602 Полуфабрикаты зам ФЛП,"04060201 Пельмени, манты, вареники и прочее СП зам",Картофельные шарики с копченой колбасой зам ЛП вес,231054,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010103 Зелень, семена",01010301 Зелень,Зелень свежая Розмарин 50г,231055,
03 Готовая еда,0306 Готовая еда СП развесная,"030602 Вторые блюда, гарниры СП развесные",03060206 Вторые блюда из овощей и грибов СП развесные,ЛП Картофельные шарики с копченой колбасой,231058,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110209 Зефир,Зефир SPAR крем-брюле 270г,231059,
05 Продовольственные товары,0511 Кондитерские изделия,051103 Кондитерские сахарные и шоколадные изделия весовые,05110303 Конфеты не шоколадные вес,Конфеты суфле Пломбир SPAR вес,231060,
05 Продовольственные товары,0511 Кондитерские изделия,051103 Кондитерские сахарные и шоколадные изделия весовые,05110301 Конфеты в шоколаде вес,Конфеты Шоколадный Пломбир SPAR вес,231061,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110210 Пастила,Пастила SPAR в Шоколадной глазури 290г,231066,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110210 Пастила,Пастила SPAR Клюква 247г,231067,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Кукла с аксессуарами Музыкальная вечеринка,231071,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Игра детская настольная Крокодил-дантист,231072,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Конструктор Военная техника в ассортименте,231073,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Набор для детского творчества Картина из песка,231075,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Пазлы 60 - 104 элемента в ассортименте,231076,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Мяч-прыгун Лохматик (осьминожка),231077,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Юла Вихрь со светом,231078,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Игрушка WingCrown Динозавр D2987/6,231079,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020702 Варёные колбасы,02070203 Колбаса ветчинная шт,Ветчина рубленая из мяса птицы Любимая Петруха 300г,231091,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020703 Варёно-копчёные колбасы,02070301 Варёно-копчёные колбасы шт,Колбаски в/к Кабаносы Петруха в/с 550г,231093,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020709 Паштеты, зельц, сало, шпиг",02070902 Зельц,Сальтисон Куриный Петруха 470г,231096,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030102 Вторые блюда, гарниры ЦЕХ",03010206 Вторые блюда из овощей и грибов ЦЕХ,Овощной Рататуй ГП Цех,231101,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030102 Вторые блюда, гарниры ЦЕХ",03010206 Вторые блюда из овощей и грибов ЦЕХ,Картофель запеченный в специях ГП Цех,231102,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030102 Вторые блюда, гарниры ЦЕХ",03010206 Вторые блюда из овощей и грибов ЦЕХ,Картофель с чесноком и розмарином ГП Цех,231103,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020705 Мясные деликатесы из свинины,02070506 Мясо сырокопченое и сыровяленое из свинины нарезка,Грудинка с/к Ароматная Кот де Франс нарезка 180г,231104,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020705 Мясные деликатесы из свинины,02070506 Мясо сырокопченое и сыровяленое из свинины нарезка,Филей с/к свиной Кот де Франс нарезка 90г,231105,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020705 Мясные деликатесы из свинины,02070506 Мясо сырокопченое и сыровяленое из свинины нарезка,Карбонад с/к Крестьянский Кот де Франс нарезка 90г,231106,
05 Продовольственные товары,"0515 Диетическое и Диабетическое питание, ЗОЖ",051501 Диабетические продукты,05150102 Заменитель сахара,Заменитель сахара SPAR в таблетках 1200шт,231108,
05 Продовольственные товары,"0515 Диетическое и Диабетическое питание, ЗОЖ",051501 Диабетические продукты,05150102 Заменитель сахара,Заменитель сахара SPAR в таблетках 650шт,231109,
02 Скоропортящиеся товары,0215 Торты и кондитерские изделия ЦЕХ и ФЛП,"021503 Печенье, мучные изделия СП","02150302 Печенье, мучные изделия СП вес",Печенье Спар с шоколадной крошкой ЛП вес,231111,
02 Скоропортящиеся товары,0201 Молочная продукция,020103 Творог,02010302 Творог зерненый,Творог зерненый Залесский Фермер 5% капля 180г БЗМЖ,231113,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Лаки Страйк Арома Еллоу,231115,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020802 Мелкоштучные изделия привозные,02080202 Мелкоштучные сдобные изделия,Булочка Русский крендель с маком РХ 150г,231116,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110203 Конфеты в коробках, наборы",Конфеты шоколадные Комильфо с двухслойной начинкой Шампанское/Розы/Малина 116г,231118,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110208 Желейные изделия, мармелад",Мармелад Бон Пари фруктовый Бриллиантовые сердца 100г,231119,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,06010302 Сладкие газированные напитки,Напиток газ SPAR Cola 2л,231127,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,06010302 Сладкие газированные напитки,"Напиток газ SPAR Tonic Water 1,5л",231128,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070203 Салфетки, платки бумажные",07020301 Салфетки бумажные,Салфетки бум Велма 2-сл А50 белые,231130,
02 Скоропортящиеся товары,0202 Сыр,"020203 Твердый, полутвердый сыр","02020302 Твердый, Полутвердый сыр фас/штучный",Сыр Голландский Новый Милкавита 45% флоупак 360г БЗМЖ,231131,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы","05070102 Приправы, смеси специй без соли",Смесь пряностей Приправия Эксклюзив Альпийский глинтвейн 15г,231134,
"01 Фрукты, Овощи, Цветы свежие",0102 Цветы,010202 Цветы горшечные,01020201 Цветы горшечные,Растение комнатное Антуриум 55см 1шт в горшке,231136,
04 Замороженная продукция,0408 Мясо и птица замороженные ФЛП,040801 Мясо и натуральные полуфабрикаты зам ФЛП,04080102 Субпродукты зам СП,Ноги свиные замороженные Цех,231199,
02 Скоропортящиеся товары,0203 Мясо и птица охлажденные,020301 Мясо и полуфабрикаты из мяса охл,02030106 Фарш из мяса охл,Фарш домашний Мираторг охл 400г,231200,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110203 Конфеты в коробках, наборы",Конфеты шоколадные Моцарт белый шоколад Марципан/Фисташки 200г,231201,
02 Скоропортящиеся товары,0215 Торты и кондитерские изделия ЦЕХ и ФЛП,"021503 Печенье, мучные изделия СП","02150302 Печенье, мучные изделия СП вес",Печенье СПАР с миндалем Люблинские продукты вес,231202,
02 Скоропортящиеся товары,0215 Торты и кондитерские изделия ЦЕХ и ФЛП,"021503 Печенье, мучные изделия СП","02150302 Печенье, мучные изделия СП вес",Печенье СПАР шоколадное Люблинские продукты вес,231203,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051402 Семечки,05140202 Семечки подсолнечника шт,Семечки подсолнечника SPAR очищенные соленые жареные стакан 70г,231209,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020205 Кофе порционный (прикасса),Напиток кофейный Монарх Стронг 3в1 13г,231210,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020205 Кофе порционный (прикасса),"Напиток кофейный Монарх Майлд 3в1 13,5г",231211,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020205 Кофе порционный (прикасса),"Напиток кофейный Монарх Классик 3в1 13,5г",231212,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020203 Растворимый кофе,Кофе растворимый Монарх Милиграно c добав молотого 70г,231213,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071504 Товары для сада, огорода","07150401 Грунт, удобрения",Грунт для выращивания рассады томатов/перцев/баклажанов 10л,231244,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071504 Товары для сада, огорода","07150401 Грунт, удобрения",Грунт Универсальный для всех видов растений и рассады 10л,231245,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071504 Товары для сада, огорода","07150401 Грунт, удобрения",Грунт для цветущих и декоративно-листных растений 10л,231246,
02 Скоропортящиеся товары,0213 Мясные и мясоколбасные деликатесы ЦЕХ и ФЛП,"021302 Сосиски, сардельки ФЛП",02130201 Сосиски шт ФЛП,Сосиски Бедронковские в/у ЛП 800г,231252,
02 Скоропортящиеся товары,0213 Мясные и мясоколбасные деликатесы ЦЕХ и ФЛП,"021302 Сосиски, сардельки ФЛП",02130201 Сосиски шт ФЛП,Сосиски Венские н/о в/у ЛП 800г,231253,
02 Скоропортящиеся товары,0213 Мясные и мясоколбасные деликатесы ЦЕХ и ФЛП,"021302 Сосиски, сардельки ФЛП",02130201 Сосиски шт ФЛП,Сосиски Молочные в/у ЛП 800г,231254,
02 Скоропортящиеся товары,0213 Мясные и мясоколбасные деликатесы ЦЕХ и ФЛП,"021302 Сосиски, сардельки ФЛП",02130201 Сосиски шт ФЛП,Сосиски из индейки в/у ЛП 400г,231257,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020901 Мясо и полуфабрикаты из мяса охл ЦЕХ,02090106 Субпродукты мясные охл ЦЕХ,Печень по-Строгановски ПФ Цех,231316,
"01 Фрукты, Овощи, Цветы свежие",0102 Цветы,010201 Цветы срезанные,01020102 Букеты,Букет сборный 1шт,231320,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020904 Птица и полуфабрикаты из птицы охл ФЛП,02090402 Полуфабрикаты из птицы охл СП,Шницель куриный охл ЛП 400г,231321,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020903 Мясо и полуфабрикаты из мяса охл ФЛП,02090307 Полуфабрикаты рубленные из мяса охл СП,Гуляш из свинины охл ЛП 400г,231323,
02 Скоропортящиеся товары,0215 Торты и кондитерские изделия ЦЕХ и ФЛП,021502 Пирожные СП,02150202 Пирожные шоколадные СП,Пирожное Картошка Люблинские продукты 180г,231324,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021206 Мелкоштучные изделия и куличи СП готовые,02120601 Мелкоштучные изделия и куличи СП готовые,Ватрушка с повидлом Люблинские продукты 135г,231325,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021206 Мелкоштучные изделия и куличи СП готовые,02120601 Мелкоштучные изделия и куличи СП готовые,Ватрушка с творогом Люблинские продукты 135г,231326,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020903 Мясо и полуфабрикаты из мяса охл ФЛП,02090307 Полуфабрикаты рубленные из мяса охл СП,Колбаски гриль Немецкие ЛП 450г,231328,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020903 Мясо и полуфабрикаты из мяса охл ФЛП,02090307 Полуфабрикаты рубленные из мяса охл СП,Эскалоп из свинины охл ЛП 400г,231329,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020903 Мясо и полуфабрикаты из мяса охл ФЛП,02090306 Фарш из мяса охл СП,Фарш Мясной для котлет охл Люблинские Продукты 400г,231330,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,02080102 Хлеб с ржаной мукой,Хлеб Кенигсбергер нарезной РХ 260г,231336,
04 Замороженная продукция,0402 Полуфабрикаты замороженные,"040205 Пельмени, манты, вареники и прочее зам",04020501 Пельмени зам,Пельмени Классические Мираторг 700г,231337,
"06 Напитки, Табак",0601 Напитки безалкогольные,060101 Соки и сокосодержащие напитки,"06010101 Соки, нектары фруктово-ягодные",Морс Сады Придонья Брусника/Малина 1л,231338,
"06 Напитки, Табак",0601 Напитки безалкогольные,060101 Соки и сокосодержащие напитки,"06010101 Соки, нектары фруктово-ягодные",Морс Сады Придонья Клюква 1л,231339,
"06 Напитки, Табак",0607 Слабоалкогольные напитки,060701 Пиво,06070104 Пиво нефильтрованное,"Пиво светлое н/ф Кайзердом Келлербир 0,5л 4,7% ж/б",231351,
"06 Напитки, Табак",0601 Напитки безалкогольные,"060104 Энергетические, функциональные напитки",06010401 Энергетические напитки,"Напиток энергетический Драйв Ми Гуава Страйк 0,449л ж/б",231356,
"06 Напитки, Табак",0601 Напитки безалкогольные,060101 Соки и сокосодержащие напитки,"06010101 Соки, нектары фруктово-ягодные","Напиток Любимый Пряный Цитрус 0,95л",231357,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010603 Кисломолочные напитки до 3х лет,Продукт кисломолочный Снежок ФрутоНяня с 12мес 2% 200г БЗМЖ,231360,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010603 Кисломолочные напитки до 3х лет,Продукт кисломолочный Снежок ФрутоНяня Клубника/Земляника с 12мес 2% 200г БЗМЖ,231361,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010603 Кисломолочные напитки до 3х лет,Продукт кисломолочный Снежок ФрутоНяня Манго с 12мес 2% 200г БЗМЖ,231362,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120201 Мелкоштучные слоеные изделия ПЕКАРНЯ,Слойка с ветчиной и сыром 120г Цех,231363,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120201 Мелкоштучные слоеные изделия ПЕКАРНЯ,Слойка с томатами и сыром 120г Цех,231364,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120201 Мелкоштучные слоеные изделия ПЕКАРНЯ,Слойка с картофелем и грибами 120г Цех,231365,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120203 Мелкоштучные слоеные сладкие изделия ПЕКАРНЯ,Слойка с вишней 120г Цех,231367,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,"05110403 Шоколадные плитки, батончики, конфеты прикасса",Шоколад Лёвушка детям молочный с молочной начинкой 50г,231370,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Честерфилд Экстра Браун,231384,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Мальборо Компакт,231385,
"06 Напитки, Табак",0608 Табачные изделия,"060803 Системы нагревания табака, Стики табачные",06080302 Табачные стики для систем нагревания табака,Стики Хитс Креашн Твилайт,231386,
"06 Напитки, Табак",0608 Табачные изделия,"060803 Системы нагревания табака, Стики табачные",06080302 Табачные стики для систем нагревания табака,Стики Хитс Креашн Сан,231387,
"06 Напитки, Табак",0608 Табачные изделия,"060803 Системы нагревания табака, Стики табачные",06080302 Табачные стики для систем нагревания табака,Стики Хитс Креашн Арбор,231388,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Бордо 350мл 60210309,231405,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Сердце Бежевая 730мл 60221525LB,231418,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Капучино Коричневая 240мл 60223075,231421,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Эспрессо декор №1 240мл 60223079,231423,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Эспрессо декор №2 240мл 60223080,231424,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Кофе Шоп Белая 360мл 60223115,231427,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Кафе Чёрная 280мл 60223121,231428,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Кафе Белая №1 280мл 60223124,231429,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Чашка с блюдцем Ф.М.Кофе 90мл 60325051,231434,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090104 Термоса, чайники, фрэнч-прессы",Керамический чайник с чашкой Собаки 400+220мл 60335213,231441,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,05110112 Пряники,Пряники SPAR Kids Сгущенное молоко 350г,231464,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,05110112 Пряники,Пряники SPAR Kids Клюква 350г,231465,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,05110112 Пряники,Пряники SPAR Kids Клубника 350г,231466,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,05110112 Пряники,Батончик Пряничный SPAR Банан/Шоколад 90г,231467,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,05110112 Пряники,Батончик Пряничный SPAR Вишня/Шоколад 90г,231468,
