SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
02 Скоропортящиеся товары,0201 Молочная продукция,020102 Кисломолочная продукция традиционная,02010201 Кефир,"Кефир Кот де Франс 2,5% п/п 800г БЗМЖ",6219,
02 Скоропортящиеся товары,0201 Молочная продукция,020101 Молоко и молочная продукция,02010103 Сливки,Сливки питьевые Залесский Фермер 10% кувшин 200г БЗМЖ,6220,
05 Продовольственные товары,0505 Масло растительное,050502 Масло оливковое,05050201 Масло оливковое рафинированное,Масло оливковое Боргес Классик рафинированное 250мл,6320,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020101 Водка премиум,Водка Русский стандарт 1л 40%,6350,
"06 Напитки, Табак",0601 Напитки безалкогольные,060102 Вода питьевая и газированная/минеральная,06010201 Питьевая вода негазированная,Вода питьевая Совлит негаз 6л,6407,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,Жевательная резинка Орбит Сладкая мята,6500,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020102 Чай черный листовой,Чай Импра черный красная упаковка 200г,6672,
04 Замороженная продукция,0403 Рыба и морепродукты замороженные,040301 Рыба и Филе рыбы зам,04030102 Рыба белая тушка зам,Скумбрия Атлантическая Нерия с/г с/м 1кг,6715,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020102 Чай черный листовой,Чай Импра черный красная упаковка 90г,6804,
03 Готовая еда,0301 Готовая еда ЦЕХ,030104 Салаты ЦЕХ,03010402 Салаты масляные ЦЕХ,Салат из молодой капусты ЦЕХ,6937,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010202 Огурцы, патиссоны, кабачки, тыква",Кабачки вес,7004,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040201 Тушка и части цыпленка зам,Филе грудки цыпленка бройлера БПП зам. 1кг,7163,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040201 Тушка и части цыпленка зам,Голень цыпленка- бройлера фасованная БПП зам. 1кг,7167,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040201 Тушка и части цыпленка зам,Бедро со спинкой цыпленка- бройлера фас БПП зам. 1кг,7169,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040201 Тушка и части цыпленка зам,Крылья БПП цыпленка- бройлера фасованные зам. 1кг,7171,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040202 Субпродукты цыпленка зам,Сердце БПП цыплят- бройлеров фасованное зам. 1кг,7172,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040202 Субпродукты цыпленка зам,Желудки БПП цыплят-бройлера фасованные зам. 1кг,7174,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030404 Средства для укладки волос,Лак для волос Нова 200мл Голд Суперфирм золотой,7247,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030404 Средства для укладки волос,Лак для волос Нова 400мл Голд Суперфирм золотой,7251,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020602 Прокладки в критич. дни,Прокладки Либресс Ультра Винг Нормал А10,7373,
02 Скоропортящиеся товары,0202 Сыр,"020203 Твердый, полутвердый сыр","02020305 Твердый, Полутвердый вакуумированный кусок вес",Сыр Голландский АО Молоко 45% п/тв газ/уп вес БЗМЖ,7434,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,Коньяк Старый Кёнигсберг 4 года 0.25л 40%,7436,
04 Замороженная продукция,0404 Мясо и птица замороженные,040402 Птица и натуральные полуфабрикаты из птицы зам,04040204 Фарш из птицы зам,Фарш БПП из мяса цыплят- бройлеров зам. 450г,7777,
02 Скоропортящиеся товары,0201 Молочная продукция,"020108 Масло, маргарин, спред",02010802 Маргарин,Маргарин Хозяюшка Сливочный Нижегородский 60% 200г,7963,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,02080102 Хлеб с ржаной мукой,Хлеб Дарницкий РХ 290г,8321,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020802 Мелкоштучные изделия привозные,02080204 Мелкоштучные сдобные сладкие изделия,Булочка РХ Плюшка 100г,8323,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,"Коньяк Арарат 5 лет 0,5л 40% п/у",8537,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус","050601 Кетчупы, соусы на томатной основе",05060102 Кетчуп,Кетчуп Калининградский Традиционный 800г,9313,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус","050601 Кетчупы, соусы на томатной основе",05060102 Кетчуп,Кетчуп Калининградский Традиционный 500г,9315,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,Жевательная резинка Дирол X-Фреш Мандарин 16г,9400,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,Жевательная резинка Ментос Тутти-Фрутти 54г,9401,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020901 Мясо и полуфабрикаты из мяса охл ЦЕХ,02090102 Говядина кусок и п/ф натуральные охл ЦЕХ,Говядина голяшка н\к ЦЕХ,9472,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070305 Средства для бритья,07030502 Пена для бритья,Пена для бритья Арко Cool 200мл,9606,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070305 Средства для бритья,07030502 Пена для бритья,Пена для бритья Арко 200мл для чувств кожи,9607,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,"060307 Ликёр, аперитив, бальзам",06030703 Аперитив,Аперитив Кампари 0.5л 25%,9868,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120202 Мелкоштучные сдобные изделия ПЕКАРНЯ,Пампушки с чесноком СП,9926,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия",070103 Чистящие моющие средства,07010304 Средства для прочистки труб и стоков,Гель для чистки труб Тирет 500мл,10212,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,02080102 Хлеб с ржаной мукой,Хлеб Бородинский РХ 400г,10331,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020601 Прокладки ежедневные,Прокладки ежед Белла А36 Панти Плюс,10474,
05 Продовольственные товары,0504 Продукция быстрого приготовления,050401 Еда быстрого приготовления,05040102 Смеси с картофелем б/п,Пюре картофельное с курицей Роллтон 40г,10689,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080101 Хлеб, батон, багет из пшеничной муки",Батон Ароматный РХ нарезной 165г,10737,
